406	 pela
542	África do Sul
545	Albânia
547	Atestado de admissão, no curso pretendido, de
548	uma universidade reconhecida
549	pela UNIGE na Albânia
550	Exame de francês
551	Argélia
555	Alemanha
558	Se a média não for obtida: atestado de admissão, no curso pretendido,
559	de
560	 pela UNIGE na Alemanha
562	º
563	 diploma universitário obtido em uma
564	universidade e
565	um programa reconhecidos
566	Arábia Saudita
567	Argentina
570	Armênia
571	A partir de 2018:
573	 pela UNIGE na Armênia
574	Até 2017:
576	Dois anos de estudos concluídos com aprovação (120 créditos ECTS) em uma
577	universidade e um programa reconhecidos pela UNIGE
578	 em um país que tenha assinado ou ratificado a
579	. Se os dois anos de estudos não tiverem sido realizados no curso pretendido na UNIGE, é exigido um atestado de admissão no curso pretendido de uma universidade reconhecida pela UNIGE na Armênia.
580	Austrália
601	universidade
602	e um programa reconhecidos pela UNIGE
603	 em um país que tenha assinado ou
604	ratificado a
605	. Se os dois anos de estudos não tiverem sido
606	realizados no curso pretendido na UNIGE, um atestado de admissão no
607	curso pretendido de uma universidade reconhecida pela UNIGE na Austrália é
608	exigido.
612	UNIGE na Austrália
613	Áustria
616	Azerbaijão
618	curso pretendido de uma universidade reconhecida pela UNIGE no Azerbaijão é
619	exigido.
620	Bahrein
625	Bélgica
630	Benin
635	Butão
636	Bielorrússia
639	curso pretendido de uma universidade reconhecida pela UNIGE na Bielorrússia é
640	Bolívia
643	Bósnia e
644	Herzegovina
650	(anteriormente:
653	Atestado de admissão, no curso pretendido, de
654	UNIGE na Bósnia e Herzegovina
655	Botsuana
656	Brasil
659	Bulgária
662	UNIGE na Bulgária
665	A partir de 2021:
669	Antes de 2021:
676	A partir de 2021:
680	A partir de 2021: 60%
681	Antes de 2021: 60% no Di-
682	Camboja
685	Camarões
686	Sistema francófono:
691	Sistema anglófono:
693	 diploma universitário
694	obtido em uma
695	Canadá
697	 Alberta High School Diploma incluindo 6
698	disciplinas de
699	formação geral
700	, nos níveis 10, 20 e 30
701	pela UNIGE no Canadá
704	duation – Dogwood Diploma incluindo 6 disciplinas de
705	, nos níveis 10, 11 e 12.
707	High School Diploma incluindo 6 disciplinas
708	de
709	, nos níveis 10, 11 e 12, sendo um
710	nível «acadêmico» ou «avançado» com o código de
711	matéria 3xxx no nível 12.
713	High School Diploma incluindo 6 disciplinas
714	 nos níveis 10, 11 e 12, sendo um
715	nível «especializado» com o código de matéria 40S no
716	nível 12
719	incluindo 6 disciplinas independentes de
720	formação
721	geral
723	incluindo 6 disciplinas de
724	, nos níveis
725	10, 11 e 12, sendo um nível «acadêmico» ou
726	«avançado» com o código de matéria 3xxx no nível 12.
728	Canadá
729	 (continuação)
732	ploma incluindo 6 disciplinas de
733	, nos
734	níveis 10, 20 e 30
735	pela UNIGE no Canadá
737	High School Completion Certificate
738	incluindo 6 disciplinas de
739	, nos níveis 10,
740	11 e 12, sendo um nível «acadêmico» ou «avançado»
741	no nível 12.
744	tion Diploma incluindo 6 disciplinas de
747	10, 11 e 12, sendo um nível «preparação universitária»
748	com o código de matéria xxx4Ux no nível 12
749	uma universidade
750	reconhecida
751	 pela UNIGE no Canadá
754	Graduation Diploma incluindo 6 disciplinas de
755	formação
756	geral
757	, nos níveis 10, 11 e 12, sendo um nível
758	«acadêmico» com o código de matéria 6xx no nível 12
760	 Diplôme d’études collégiales (D.E.C.) pré-
761	universitário de
762	pela UNIGE no Canadá
769	ding incluindo 6 disciplinas de
770	níveis 10, 11 e 12
