1	Conditions d’immatriculation 
2	à l’Université de Genève 
4	Haut du document
7	Ces conditions d’immatriculation ne sont valables que pour l’année académique 2026-2027. Elles sont publiées en janvier pour l’année académique qui débute en septembre 2026. Le Rectorat de l’Université de Genève se réserve le droit de les modifier à tout moment. 
8	Ce document s’adresse aux candidates et candidats à l’immatriculation à l’Université de Genève (ci-après « UNIGE »). Toute personne ayant déjà été immatriculée comme étudiante régulière ou étudiant régulier par le passé doit effectuer une demande de réimmatriculation en suivant la procédure et les délais indiqués en ligne : 
11	Table des matières 
14	INSCRIPTION EN BACCALAUREAT UNIVERSITAIRE (
15	BACHELOR
17	 OU AU 
18	DIPLOME D’
19	ETUDES DE FRANÇAIS LANGUE ETRANGERE 
20	(DEFLE)................. 5
22	CONDITIONS GENERALES D’
23	IMMATRICULATION
26	Titulaires d’un diplôme suisse ................................................................ 5
28	Titulaires d’un Baccalauréat international ou d’un 
29	Baccalauréat européen................................................................................................. 6
31	Titulaires d’un diplôme secondaire supérieur étranger .............. 7
33	Candidates et candidats dépourvus d’un titre secondaire 
34	supérieur reconnu ......................................................................................................... 23
35	INSCRIPTION EN MAITRISE UNIVERSITAIRE (
38	 EN COMPLEMENT D’ ETUDES OU EN CERTIFICAT COMPLEMENTAIRE
43	INSCRIPTION EN CERTIFICAT DE SPECIALISATION ,
44	 MAITRISE UNIVERSITAIRE D’ ETUDES AVANCEES OU DOCTORAT
49	CONDITIONS PARTICULIERES  .............................................................. 26
51	FACULTE DE MEDECINE
54	Médecine humaine .................................................................................... 26
56	Médecine dentaire ..................................................................................... 26
58	FACULTE DE TRADUCTION ET D’
59	INTERPRETATION
62	PROCEDURE DE DEMANDE D’
65	PROCEDURES PARTICULIERES  ............................................................ 32
67	FACULTE DES SCIENCES
70	Pour l’immatriculation en 
71	doctorat
76	Baccalauréat universitaire en 
77	médecine humaine ou dentaire
80	Pour l’immatriculation en M
81	aîtrise universitaire en 
82	médecine dentaire ou humaine
84	Pour l’immatriculation en
85	 doctorat
87	maîtrise universitaire d’études 
88	avancées
91	FACULTE DES LETTRES
96	FACULTE DES SCIENCES DE LA SOCIETE
100	FACULTE D’
101	ECONOMIE ET MANAGEMENT
104	Pour l’immatriculation à un
107	FACULTE DE DROIT
112	FACULTE DE THEOLOGIE
115	Pour l’immatriculation au 
116	Certificat complémentaire 
117	d’études œcuméniques
118	 et à la 
119	Maîtrise d’études avancées en études 
120	œcuméniques
124	FACULTE DE PSYCHOLOGIE ET DES SCIENCES DE L’
125	EDUCATION
128	Pour l’immatriculation à la 
129	Maîtrise universitaire en 
130	logopédie
133	Pour l’immatriculation à un 
140	STUDIES 
141	INSTITUTE
146	INSTITUT UNIVERSITAIRE DE FORMATION DES ENSEIGNANT-ES
149	DELAIS D’
150	INSCRIPTION
153	POUR LES BACCALAUREATS UNIVERSITAIRES
156	Semestre d’automne 2026-2027 ......................................................... 36
158	Délai général.......................................................................................................... 36
160	Délai spécifique .................................................................................................... 36
162	Faculté de théologie .................................................................................. 36
164	Délai pour procédures particulières .......................................................... 36
166	Faculté de médecine ................................................................................. 36
168	Semestre de printemps 2027 ................................................................. 37
170	POUR LES MAITRISES UNIVERSITAIRES
172	 COMPLEMENTS D’
173	ETUDES ET 
174	CERTIFICATS COMPLEMENTAIRES
177	Semestre d’automne 2026-2027 .......................................................... 38
179	Délai général ......................................................................................................... 38
181	Délais spécifiques ............................................................................................... 38
183	Faculté des sciences ................................................................................. 38
185	Faculté de médecine ................................................................................. 38
187	Faculté des sciences de la société ...................................................... 38
189	Faculté d’économie et de management........................................... 38
191	Faculté de psychologie et des sciences de l’éducation ............ 38
193	Faculté de traduction et d’interprétation ...................................... 39
195	Global Studies Institute ........................................................................... 39
197	Institut de la formation des enseignant-es .................................... 39
199	Institut des sciences de l’environnement ...................................... 39
201	Délais pour procédures particulières ....................................................... 39
203	Faculté de médecine ................................................................................. 39
205	Faculté de théologie ................................................................................. 39
207	Semestre de printemps 2027 ................................................................. 40
209	Délai général ......................................................................................................... 40
211	POUR LES DOCTORATS
214	POUR LES CERTIFICATS DE SPECIALISATION
217	Délai général ............................................................................................... 41
219	Semestre d’automne 2026-2027 ................................................................. 41
221	Délais spécifiques ............................................................................................... 41
223	Institut universitaire de formation des enseignant-es ............ 41
225	Semestre de printemps 2027 ........................................................................ 41
227	Délais pour procédures particulières ................................................ 41
230	Faculté des sciences ................................................................................. 42
232	POUR LES MAITRISES UNIVERSITAIRES D’
233	ETUDES AVANCEES
236	Délai général ............................................................................................... 42
238	Semestre d’automne 2026-2027 ................................................................. 42
240	Semestre de printemps 2027 ........................................................................ 42
242	Délai spécifique .......................................................................................... 42
245	Faculté de médecine ................................................................................. 42
247	EXIGENCES DE FRANÇAIS  .................................................................. 43
249	CONVOCATION A L’
253	DATES DE L’
256	FRAIS D’
259	DUREE STRUCTURE ET MODELES D’
260	EXAMENS
263	RESULTATS
266	EN CAS D’
267	ECHEC A L’
268	EXAMEN A VALEUR ELIMINATOIRE
271	EXAMEN A VALEUR INDICATIVE
274	DISPENSE DE L’
275	EXAMEN DE FRANÇAIS
278	FORMATIONS QUI NE REQUIERENT PAS D’
279	EXIGENCE DE FRANÇAIS
282	Faculté des sciences .................................................................................. 45
284	Faculté de médecine ................................................................................. 45
286	Faculté des lettres ..................................................................................... 45
288	Faculté des sciences de la société ........................................................ 46
290	Faculté d’économie et de management ............................................ 46
292	Faculté de théologie ................................................................................. 46
294	Faculté de psychologie et des sciences de l’éducation ................ 46
296	Global Studies Institute ........................................................................... 46
298	Institut universitaire de la formation des enseignant-es .......... 46
300	Institut des sciences de l’environnement ......................................... 46
302	DEFINITIONS /
303	EXPLICATIONS  ............................................................. 47
305	DEFINITION DU CARACTERE DE FORMATION GENERALE
308	EXAMEN COMPLEMENTAIRE DES HAUTES ECOLES SUISSES –
312	UNIVERSITES ET PROGRAMMES RECONNUS
315	Établissement d’enseignement supérieur reconnus par 
316	l’UNIGE : 50
318	Programmes d’établissement d’enseignement supérieur 
319	reconnus par l’UNIGE : ............................................................................................... 50
321	TITRES NON RECONNUS
324	Diplômes secondaires .............................................................................. 51
326	Diplômes/examens/formations post-secondaires (ou 
327	assimilés) : ....................................................................................................................... 51
329	ATTESTATION D’
330	ADMISSION
333	Particularités facultaires ....................................................................... 52
335	FORMATIONS OUVERTES AU SEMESTRE DE PRINTEMPS 2027 ........... 53
337	FACULTE DES SCIENCES  .......................................................... 53
339	FACULTE DE MEDECINE  ........................................................... 53
341	FACULTE DES LETTRES  ............................................................ 53
343	ÉCOLE DE LANGUE ET DE CIVILISATION FRANÇAISES  .................. 53
345	FACULTE DES SCIENCES DE LA SOCIETE  ................................... 53
347	ECONOMIE ET DE MANAGEMENT
350	FACULTE DE DROIT  .................................................................. 54
358	CENTRE INTERFACULTAIRE DES DROITS DE L’
364	INSTITUT UNIVERSITAIRE DE LA FORMATION DES ENSEIGNANT-ES
367	INSTITUT DES SCIENCES DE L’
368	ENVIRONNEMENT
371	SERVICE DES IMMATRICULATIONS  :
372	 CONTACT
375	Inscription en baccalauréat universitaire (bachelor) ou au Di-
376	plôme d’études de français langue étrangère (DEFLE) 
378	Conditions générales d’immatriculation 
380	Titulaires d’un diplôme suisse 
381	Les titres suivants donnent accès, en principe, à toutes les facultés/insti-
382	tuts/centres/école (ci-après « facultés ») de l’UNIGE : 
384	Certificat de maturité gymnasiale (cantonal) ; 
385	Certificat de maturité suisse (maturité dite « fédérale » organisée 
386	par la Commission suisse de maturité - CMS) ; 
387	Maturité professionnelle, accompagnée du certificat d’examen 
388	complémentaire dit « examen passerelle » ; 
389	Maturité spécialisée, accompagnée du certificat d’examen com-
390	plémentaire dit « examen passerelle » ; 
391	Baccalauréat universitaire (bachelor) délivré par l’une des 
392	hautes 
393	écoles suisses reconnues
394	De plus, les titulaires d’une maturité professionnelle ou spécialisée ayant 
395	obtenu au moins 60 crédits à la HES-SO dans un délai maximum de 2 
396	ans sont immatriculables à l’UNIGE à condition : 
397	de ne pas se trouver dans une situation d’échec définitif dans la 
398	filière HES concernée ; et  
399	que l’accès s’effectue dans le cadre d’une branche d’études com-
400	parable selon le protocole d'accord CUSO-HES-SO (2007)
401	 et 
402	son avenant (2012)
403	Si aucune des conditions ci-dessus n’est remplie, un premier diplôme uni-
404	versitaire obtenu dans une 
405	université et un programme reconnus
406	 par 
407	l’UNIGE (voir partie 9.3
408	 permet l’immatriculation. Une procédure particu-
409	lière pour les 
410	non titulaires d’un titre secondaire supérieur suisse reconnu
411	est possible dans certains cas et selon certains critères (voir partie 1.1.4). 
412	La Faculté de médecine requiert des 
413	conditions particulières d’admission
414	(voir partie 4.1) et une 
415	procédure supplémentaire à suivre
416	 (voir partie 
420	La Faculté de traduction et d’interprétation requiert également des 
421	 (voir partie 4.2). 
422	Pour toutes les formations, la 
423	procédure d’immatriculation
424	 (voir partie 5) doit avoir été suivie 
425	dans les délais
426	 (voir partie 7.1).  
427	Les candidates et candidats doivent satisfaire aux exigences de français, si elles sont demandées (
428	voir partie 8
430	Les conditions d’admission régies par le règlement d’étude de la formation postulée doivent être remplies. Le règlement d’études est téléchargeable sur le site internet de la faculté/centre/institut de la formation envisagée. 
434	Titulaires d’un Baccalauréat international ou d’un Baccalauréat 
435	européen 
436	Les diplômes de Baccalauréat international et de Baccalauréat européen 
437	doivent présenter, en autres, un 
438	caractère de formation générale
439	 (voir par-
440	tie 9.1). 
441	En sus, le Baccalauréat international doit : 
442	avoir été suivi de manière continue durant les deux dernières an-
443	nées du diplôme ; 
444	comporter trois examens en option forte, dont un sujet en 
445	sciences (mathématiques, chimie, biologie ou physique) et trois 
446	examens en option moyenne, parmi les branches suivantes: 
447	toutes les langues (excepté langue et littérature théâtrale), éco-
448	nomie et gestion des entreprises, gestion des entreprises, géo-
449	graphie, histoire, philosophie, biologie, chimie, physique, informa-
450	tique, mathématiques : applications et interprétation (niveaux 
451	moyen ou supérieur), mathématiques : analyse et approches (ni-
452	veaux moyen ou supérieur) ; 
453	avoir au minimum 32 points, sans les points de bonification. 
454	En sus, le Baccalauréat européen doit avoir été suivi de manière continue 
455	durant les trois dernières années du diplôme. 
456	l’UNIGE (voir partie 9.3) permet l’immatriculation. Une procédure particu-
457	condi-
