327	equiparados) :
329	ATESTADO DE
330	ADMISSÃO
333	Particularidades por faculdade
335	FORMAÇÕES ABERTAS NO SEMESTRE DE PRIMAVERA DE 2027
337	FACULDADE DE CIÊNCIAS
339	FACULDADE DE MEDICINA
341	FACULDADE DE LETRAS
343	ESCOLA DE LÍNGUA E CIVILIZAÇÃO FRANCESAS
345	FACULDADE DE CIÊNCIAS DA SOCIEDADE
347	ECONOMIA E GESTÃO
350	FACULDADE DE DIREITO
358	CENTRO INTERFACULTATIVO DOS DIREITOS DA
364	INSTITUTO UNIVERSITÁRIO DE FORMAÇÃO DE DOCENTES
367	INSTITUTO DE CIÊNCIAS DO
368	MEIO AMBIENTE
371	SERVIÇO DE MATRÍCULAS :
372	 CONTATO
375	Inscrição em bacharelado universitário (bachelor) ou no
376	Diploma de estudos de francês língua estrangeira (DEFLE)
378	Condições gerais de matrícula
380	Titulares de um diploma suíço
381	Os títulos a seguir dão acesso, em princípio, a todas as faculdades/
382	institutos/centros/escola (doravante «faculdades») da UNIGE:
384	Certificado de maturidade ginasial (cantonal);
385	Certificado de maturidade suíço (a chamada maturidade «federal» organizada
386	pela Comissão Suíça de Maturidade - CMS);
387	Maturidade profissional, acompanhada do certificado de exame
388	complementar denominado «exame passerelle»;
389	Maturidade especializada, acompanhada do certificado de exame
390	complementar denominado «exame passerelle»;
391	Bacharelado universitário (bachelor) emitido por uma das
392	escolas
393	superiores suíças reconhecidas
394	Além disso, os titulares de uma maturidade profissional ou especializada que tenham
395	obtido pelo menos 60 créditos na HES-SO em um prazo máximo de 2
396	anos podem se matricular na UNIGE com a condição de:
397	não se encontrar em situação de reprovação definitiva no
398	curso da HES em questão; e
399	que o acesso ocorra no âmbito de um ramo de estudos
400	comparável de acordo com o protocolo de acordo CUSO-HES-SO (2007)
401	 e
402	seu aditivo (2012)
403	Se nenhuma das condições acima for atendida, um primeiro diploma
404	universitário obtido em uma
405	universidade e um programa reconhecidos
406	 pela
407	UNIGE (ver parte 9.3
408	 permite a matrícula. Um procedimento
409	específico para os
410	não titulares de um título de ensino secundário superior suíço reconhecido
411	é possível em certos casos e segundo certos critérios (ver parte 1.1.4).
412	A Faculdade de Medicina exige
413	condições específicas de admissão
414	(ver parte 4.1) e um
415	procedimento adicional a seguir
416	 (ver parte
420	A Faculdade de Tradução e Interpretação exige igualmente
421	 (ver parte 4.2).
422	Para todas as formações, o
423	procedimento de matrícula
424	 (ver parte 5) deve ter sido seguido
425	dentro dos prazos
426	 (ver parte 7.1).
427	As candidatas e os candidatos devem atender às exigências de francês, se forem solicitadas (
428	ver parte 8
430	As condições de admissão regidas pelo regulamento de estudos da formação pretendida devem ser cumpridas. O regulamento de estudos pode ser baixado no site da faculdade/centro/instituto da formação pretendida.
434	Titulares de um Bacharelado Internacional ou de um Bacharelado
435	europeu
436	Os diplomas de Bacharelado Internacional e de Bacharelado Europeu
437	devem apresentar, entre outros, um
438	caráter de formação geral
439	 (ver
440	parte 9.1).
441	Além disso, o Bacharelado Internacional deve:
442	ter sido cursado de maneira contínua durante os dois últimos
443	anos do diploma;
444	incluir três exames em opção forte, sendo um tema em
445	ciências (matemática, química, biologia ou física) e três
446	exames em opção média, entre as seguintes disciplinas:
447	todas as línguas (exceto língua e literatura teatral),
448	economia e gestão das empresas, gestão das empresas,
449	geografia, história, filosofia, biologia, química, física,
450	informática, matemática: aplicações e interpretação (níveis
451	médio ou superior), matemática: análise e abordagens
452	níveis médio ou superior);
453	ter no mínimo 32 pontos, sem os pontos de bonificação.
454	Além disso, o Bacharelado Europeu deve ter sido cursado de maneira contínua
455	durante os três últimos anos do diploma.
456	a UNIGE (ver parte 9.3) permite a matrícula. Um procedimento
457	condições
458	específicas de admissão
459	 (ver parte 5)
460	deve ter sido seguido
461	As candidatas e os candidatos devem atender às
462	exigências de francês
463	, se forem solicitadas (ver parte 8).
465	Titulares de um diploma de ensino secundário superior estrangeiro
466	O diploma de ensino secundário estrangeiro deve:
467	apresentar, no país que o emite, o grau mais elevado
468	de estudos secundários ou ginasiais;
469	dar acesso geral, no país que o emite, aos estudos
470	universitários;
471	ter sido obtido ao longo de uma formação não abreviada,
472	geralmente realizada em uma escola;
473	versar sobre as línguas antigas, as línguas modernas,
474	a matemática, as ciências naturais ou as ciências humanas e
475	sociais;
476	ter sido emitido pelo Estado ou, eventualmente, por uma instituição
477	reconhecida pelo Estado que a autorizou a emitir esse tipo de diploma;
478	ter um
479	 (ver parte 9.1).
480	Em certos casos, a fim de garantir uma melhor equivalência, a UNIGE
481	pode estabelecer exigências/condições complementares, além da
482	obtenção do diploma, de um curso específico do diploma, ou do caráter de
483	formação geral do diploma. Essas exigências podem ser:
484	a obtenção de uma média específica e/ou de uma menção. Se o
485	diploma de conclusão do ensino secundário não apresentar
486	média geral obtida após um exame final, a média
487	é calculada com base nas notas obtidas durante os três
488	últimos anos do ensino secundário superior;
489	a obtenção de um
490	atestado de admissão
491	, no curso pretendido,
492	de uma universidade reconhecida pela UNIGE (ver parte 9.5) no
493	país de emissão do título de ensino secundário. Somente um atestado com
494	uma admissão para o mesmo ano de candidatura que na UNIGE
495	é aceito. Um atestado para estudos a distância não pode
496	ser considerado;
497	a aprovação de dois anos de estudos universitários (120 créditos
498	ECTS) em uma
499	a UNIGE (ver parte 9.3) em um país que tenha assinado ou ratificado a
500	Convenção de Lisboa
502	a aprovação do
503	o Exame complementar das escolas superiores
504	suíças (ECUS)
505	 (ver parte 9.2);
507	a aprovação no exame de francês organizado pela UNIGE (ver
508	parte 8).
509	O título exato exigido, com a especificação do(s) curso(s) reconhecido(s)
510	bem como as eventuais exigências complementares constam, por país,
511	na lista a seguir. Entende-se que o caráter de formação geral
512	deve ser cumprido para cada diploma de ensino secundário.
513	Se as condições de matrícula acima não forem cumpridas, um
514	primeiro diploma universitário obtido em uma
515	universidade e um programa
516	reconhecidos
517	 pela UNIGE (ver parte 9.3) permite a matrícula. Um
518	procedimento específico para os
519	não titulares de um título de ensino secundário superior
520	suíço reconhecido
521	 é possível em certos casos e segundo certos critérios
522	(ver parte 1.1.4). Alternativamente, um exame suíço (ou cantonal)
523	completo de maturidade pode ser prestado.
524	De maneira geral, os antigos certificados de conclusão do ensino secundário
525	são avaliados segundo as condições de matrícula atuais.
527	se forem solicitadas (ver parte 8).
528	As condições de admissão regidas pelo regulamento de estudos da formação
529	pretendida devem ser cumpridas. O regulamento de estudos pode ser baixado
530	no site da faculdade/centro/instituto da formação pretendida.
531	País
532	Nome do diploma
533	Condições complementares
534	Média
535	Outras condições
536	Exames
537	Afeganistão
538	Baccalauria / 12
539	th
